Av
0_52379,
1_807,
1_3482,
0_39812,
1_50362,
1_1677,
1_70790,
1_32733,
1_10546,
1_20554,
1_6894,
1_1617,
1_852,
1_67721,
1_808,
1_6025,
0_5840,
1_70255,
1_23755,
1_1618,
1_899,
1_19390,
1_5926,
1_2674,
1_40987,
1_19696,
1_59251,
1_29407,
1_2424,
1_48374,
1_38124,
1_1541,
1_918,
1_19904,
1_5591,
1_2882,
1_946,
0_45308,
1_5641,
1_17045,
1_34925,
1_58073,
1_2426,
1_16803,
1_18059,
1_17167,
1_67117,
0_49277,
1_1186,
1_22966,
1_2884,
1_3686,
1_934,
1_52410,
1_22922,
1_2873,
1_67888,
1_3753,
1_5299,
0_7459,
1_5338,
1_57722,
1_48476,
1_20716,
1_6331,
1_57865,
1_5568,
1_8773,
1_15312,
1_941,
1_19030,
1_70088,
1_67364,
1_10133,
1_45084,
1_33483,
1_5293,
0_70629,
1_792,
1_48651,
1_3752,
0_6765,
1_8848,
1_6512,
1_33585,
1_41762,
1_22690,
1_1345,
1_77042,
1_73747,
1_20900,
1_2789,
0_676,
1_8057,
1_13193,
1_17410,
1_62569,
1_2384,
1_58383,
1_10824,
1_785,
1_516,
1_4673,
1_11444,
1_10950,
1_968,
1_2476,
0_2889,
1_18802,
0_7655,
1_20899,
1_39774,
1_16818,
1_66733,
1_18547,
1_27509,
1_17034,
1_971,
1_97749,
1_809,
1_46759,
1_25989,
1_22379,
1_56837,
1_17424,
1_5076,
1_2427,
1_2422,
1_706,
1_2334,
1_9573,
1_3132,
1_5873,
1_51137,
1_4842,
1_4714,
0_959,
1_16123,
1_15761,
1_1679,
1_63415,
1_23763,
1_40587,
1_2942,
1_57834,
0_69453,
1_11265,
1_5459,
1_65250,
1_17080,
1_15834,
1_853,
1_4394,
1_51223,
1_874,
1_9074,
1_59313,
1_2591,
1_53728,
1_9453,
1_98023,
1_961,
1_5024,
1_13615,
1_848,
1_9984,
1_11255,
1_64660,
1_46054,
1_35787,
1_16330,
1_486,
0_8548,
1_3017,
1_43890,
1_52806,
1_6687,
1_1033,
1_37803,
1_77710,
1_59785,
1_3239,
1_10712,
1_61978,
1_11262,
1_17297,
1_723,
0_9569,
1_756,
1_6752,
1_3828,
1_37761,
1_2875,
0_68292,
1_75596,
1_20120,
1_13562,
1_11254,
1_18861,
1_2853,
1_82194,
1_92147,
1_47038,
1_59333,
1_18500,
1_5088,
1_66,
1_2331,
1_19314,
1_103725,
1_22377,
1_4980,
1_2421,
1_40369,
1_6135,
1_984,
1_64646,
1_22380,
1_2720,
1_49199,
1_14864,
1_3747,
1_5023,
1_2449,
1_55567,
1_67728,
1_26035,
1_14664,
1_3591,
1_7984,
1_1805,
1_4655,
1_64722,
1_1228,
1_6245,
1_6270,
1_20019,
1_858,
1_4688,
1_14054,
1_1219,
1_1266,
1_18760,
1_2549,
1_5389,
1_17213,
1_18888,
1_2420,
1_67424,
1_64272,
1_37691,
1_98764,
1_40365,
1_15482,
1_11242,
1_875,
1_62604,
1_22116,
1_64,
1_11264,
1_58827,
1_18362,
1_819,
1_11774,
1_13494,
1_11644,
1_75497,
1_33387,
1_1144,
1_16989,
1_19471,
1_16120,
1_87829,
1_15547,
1_67343,
1_70958,
0_3351,
1_43954,
1_2548,
1_689,
1_8278,
1_6319,
1_71079,
1_17419,
1_60417,
1_3519,
1_10022,
1_75886,
1_6157,
1_22451,
1_5390,
1_1678,
1_3586,
1_21776,
1_195,
1_1363,
1_1191,
0_28158,
1_1804,
1_75255,
1_1162,
1_18144,
0_26999,
1_72146,
1_11061,
1_55239,
1_3617,
1_10510,
1_963,
1_68446,
1_8682,
1_69423,
1_21383,
1_11756,
1_5145,
1_66603,
1_20687,
1_6408,
1_24417,
1_101382,
1_8774,
1_2802,
1_3117,
1_7313,
1_1527,
1_9266,
1_60995,
1_31954,
1_42419,
1_49979,
1_79589,
1_1046,
1_26622,
1_4498,
1_11778,
1_3649,
1_11750,
1_21513,
1_20374,
1_13210,
1_8474,
1_944,
1_75694,
1_1,
1_16458,
1_15406,
1_20781,
1_6190,
1_6725,
1_966,
1_43162,
1_23813,
1_84245,
1_945,
1_22326,
1_13379,
1_5066,
1_55741,
0_933,
1_5391,
1_803,
1_59492,
1_19366,
1_6589,
1_59447,
1_18408,
1_76111,
1_11751,
1_23237,
1_16557,
1_18238,
1_57152,
1_56382,
1_3152,
1_951,
1_4357,
1_15051,
1_5665,
1_28378,
1_19311,
1_4483,
1_8018,
1_5362,
1_90970,
1_1367,
1_250,
1_28419,
1_15240,
1_2718,
1_44646,
1_955,
1_28477,
1_8556,
1_981,
1_27495,
1_71548,
1_1289,
1_983,
1_14771,
1_63767,
1_11743,
1_51604,
1_1246,
1_27849,
1_6343,
1_53072,
1_74424,
0_64786,
1_982,
1_684,
1_22330,
1_3947,
1_4319,
1_1225,
1_12948,
1_63967,
1_22605,
1_540,
1_18428,
0_63321,
1_61172,
1_69665,
0_59950,
1_3044,
1_71494,
1_73748,
1_3100,
1_3979,
1_3206,
1_8762,
1_7348,
1_11832,
1_9295,
1_63084,
0_19254,
1_53769,
1_15898,
1_50350,
1_3058,
1_30388,
0_910,
1_3783,
1_51965,
1_51030,
1_4269,
1_74187,
1_11675,
1_3694,
1_17152,
1_36482,
1_18962,
1_9836,
1_4062,
1_13838,
1_11885,
1_57658,
1_18823,
1_80779,
1_3023,
1_1304,
1_1701,
1_3043,
1_7247,
1_3540,
1_19212,
1_56,
1_2628,
1_730,
1_1076,
1_70875,
1_15670,
1_4223,
1_60822,
1_61861,
1_2812,
1_699,
1_846,
1_5632,
1_2643,
1_18010,
0_98405,
1_11755,
1_11995,
1_69910,
1_35459,
1_17261,
1_3716,
1_59335,
1_674,
1_964,
1_70991,
1_59610,
1_1005,
1_881,
1_15468,
1_47949,
1_7322,
1_16619,
1_12229,
1_3772,
1_8850,
1_4613,
1_863,
1_3070,
1_65576,
1_17265,
1_8863,
1_26492,
1_20911,
1_78069,
1_70293,
1_5269,
1_14511,
1_1074,
1_4960,
1_81721,
1_1016,
1_1671,
1_19796,
1_69,
1_7230,
1_15993,
1_51861,
1_12408,
1_55725,
1_2333,
1_22149,
1_2551,
1_19034,
1_18368,
0_22252,
1_18190,
1_8763,
0_957,
1_50378,
1_1299,
1_68109,
1_1520,
1_2423,
1_39760,
1_7888,
0_33289,
1_1165,
1_57397,
1_8704,
1_9456,
1_4944,
1_42620,
1_7536,
1_26572,
1_18422,
1_17498,
1_23550,
1_3279,
1_8314,
1_3269,
1_10465,
1_3855,
1_9454,
1_53693,
1_42423,
1_7295,
1_3733,
1_8625,
1_1050,
1_58510,
1_9542,
1_27415,
1_2964,
1_22381,
1_4756,
1_1800,
1_3392,
1_18799,
1_71370,
1_7699,
1_9686,
1_3870,
1_921,
1_39048,
1_52401,
1_79235,
1_868,
1_17231,
1_41174,
1_872,
1_61167,
1_48654,
1_12365,
1_25838,
1_15631,
1_8615,
1_21170,
1_1890,
1_63762,
1_36076,
1_70024,
1_873,
1_11259,
1_73331,
1_8125,
1_4117,
1_576,
1_48843,
1_89893,
1_8661,
1_617,
1_11836,
1_45799,
1_15272,
1_2907,
1_15711,
1_20693,
1_4273,
1_36235,
1_4399,
1_35379,
1_103746,
0_50035,
1_19285,
1_24999,
1_9648,
1_3547,
1_6219,
1_14556,
1_8557,
1_44957,
1_801,
1_11260,
1_111,
1_4187,
1_5872,
1_10206,
1_7330,
1_57261,
1_17488,
1_102215,
1_812,
1_59549,
1_9690,
1_72099,
1_4336,
1_5504,
1_19936,
1_21501,
1_5689,
1_2332,
1_61365,
1_25244,
1_11199,
1_3618,
1_72362,
1_2770,
1_74354,
1_81671,
1_1284,
1_18314,
1_1622,
1_57802,
1_26139,
1_13439,
